1,After how many hour from drinking an antibiotic can I drink alcohol?,I have a party tonight and I took my last dose of Azithromycin this morning. Can I have a few drinks?,1
1,After how many hour from drinking an antibiotic can I drink alcohol?,I vomited this morning and I am not sure if it is the side effect of my antibiotic or the alcohol I took last night...,0
1,Am I over weight (192.9) for my age (39)?,I am a 39 y/o male currently weighing about 193 lbs. Do you think I am overweight?,1
1,Am I over weight (192.9) for my age (39)?,What diet is good for losing weight? Keto or vegan?,0
1,Aspirin allergy - is it worth getting a bracelet?,How much Aspirin can I take for my headache without causing any side effects?,0
1,Aspirin allergy - is it worth getting a bracelet?,My friend told me about this bracelet for Aspirin allergy. Does it work the way they say it does?,1
1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?",Is it okay if I use the same syringe for my insulin shot? I need to take it thrice a day.,0
1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?","Today morning, I had an appointment with the doctor. After that, I saw the nurse for a shot. As I got up, her box of tools fell all over me. She sent me home saying all is okay. But I am worried about an infection. Should I schedule another appointment for any blood tests?",1
1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,"I am unable to get tooth extraction, my dentist is unable to give me anesthesia. Wouldn't antibiotics help with this since it has been going on for about 4-5 weeks? Should I go to ER?",1
1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,Why do I have black teeth? Should I take antibiotics? Is this an infection?,0
1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What are the side effects of Adderall? Can it cause ear problems or headache?,1
1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What is the maximum dose of Adderall that anybody can take?,0
1,Can coarctation of the aorta cause poor growth in height?,"ECHO done today, PA says there could be a problem. I am waiting for the specialist's appointment tomorrow. What should I ask him?",0
1,Can coarctation of the aorta cause poor growth in height?,"I am 4' 8"". My mom said that I have a birth defect (coarctation of aorta). Are the two related?",1
1,Can doxycycline treat an ear infection?,What are the side effects of Doxycycline?,0
1,Can doxycycline treat an ear infection?,Which antibiotic is best for an ear infection? I have an old course of Doxycycline. Would it work?,1
1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,I have had sinus issues for a while now. My mom says vinegar would help with them. Is it true? I sort of tried it today...,1
1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,Which is the best antibiotic for sinusitis?,0
1,Could chiari malformation cause pituitary problems or diabetes insipidus?,Can I take insulin for my diabetes?,0
1,Could chiari malformation cause pituitary problems or diabetes insipidus?,What are the effects of Chiari Malformation? My cousin has diabetes and his recent reports show pitutary issues. Is that related?,1
1,Could homeopathy for acne help?,My doctor prescribed me Doxycycline for my pimples. How long would it take for it to work?,0
1,Could homeopathy for acne help?,My sister sent me Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop for my zits. Are you aware if this works?,1
1,Could this med cause anxiety in a 12 year old?,Can I give some Aspirin to my kid for his headache?,0
1,Could this med cause anxiety in a 12 year old?,What are the side effects of this? Can it cause anxiety in children?,1
1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,I was recently detected with high blood sugars. Do you think the doctor will prescribe me insulin? Can I request him to give me pills instead?,0
1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,"My husband is a Type 2 Diabetic on Lantus Insulin and Actrapid (to be taken as per his blood sugar readings. About an hour back, he took his usual 30 units of Lantus and vomited. He was sweating as well. Should we be worried?",1
1,Does age increase the severity of eds symptoms/problems?,I have a small penis. How to increase it in size?,0
1,Does age increase the severity of eds symptoms/problems?,I think I have ED. Would this worsen as I grow old?,1
